Folder,File,YouTube URL
10-kubernetes,05-kubernetes-intro.md,https://www.youtube.com/watch?v=UjVkpszDzgk&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
10-kubernetes,04-docker-compose.md,https://www.youtube.com/watch?v=ZhQQfpWfkKY&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
10-kubernetes,07-kubernetes-tf-serving.md,https://www.youtube.com/watch?v=6vHLMdnjO2w&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
10-kubernetes,06-kubernetes-simple-service.md,https://www.youtube.com/watch?v=PPUCVRIV9t8&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
10-kubernetes,01-overview.md,https://www.youtube.com/watch?v=mvPER7YfTkw&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
10-kubernetes,09-summary.md,https://www.youtube.com/watch?v=J5LMRTIu4jY&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
10-kubernetes,02-tensorflow-serving.md,https://www.youtube.com/watch?v=deXR2fThYDw&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,07-kserve-eks.md,https://www.youtube.com/watch?v=MpuTzBSYBBI&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,02-kserve-local.md,https://www.youtube.com/watch?v=A3tFt14iTEI&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,04-kserve-custom-image.md,https://www.youtube.com/watch?v=REGNWrHZiCw&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,03-kserve-sklearn.md,https://www.youtube.com/watch?v=8kBIDggLwgE&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,06-kserve-transformers.md,https://www.youtube.com/watch?v=haowRqeAqJU&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,05-tensorflow-kserve.md,https://www.youtube.com/watch?v=iXwQb2LRKGI&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
11-kserve,01-overview.md,https://www.youtube.com/watch?v=CFWK05dQoGM&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR
